   Elapsed time	    ECG	domen_1	domen_2	domen_3	domen_4	domen_5
       0:01.201	 -0.073	 -0.001	 -0.032	 -0.049	 -0.069	 -0.057
       0:01.202	 -0.067	 -0.008	 -0.033	 -0.048	 -0.066	 -0.053
       0:01.203	 -0.064	 -0.013	 -0.031	 -0.045	 -0.060	 -0.046
       0:01.204	 -0.064	 -0.018	 -0.029	 -0.041	 -0.053	 -0.038
       0:01.205	 -0.070	 -0.024	 -0.028	 -0.038	 -0.046	 -0.030
       0:01.206	 -0.074	 -0.029	 -0.027	 -0.035	 -0.040	 -0.024
       0:01.207	 -0.074	 -0.036	 -0.028	 -0.035	 -0.036	 -0.022
       0:01.208	 -0.074	 -0.039	 -0.030	 -0.036	 -0.035	 -0.022
       0:01.209	 -0.078	 -0.040	 -0.034	 -0.039	 -0.037	 -0.026
       0:01.210	 -0.081	 -0.038	 -0.036	 -0.042	 -0.041	 -0.032
       0:01.211	 -0.083	 -0.034	 -0.039	 -0.047	 -0.048	 -0.041
       0:01.212	 -0.086	 -0.029	 -0.041	 -0.053	 -0.057	 -0.051
       0:01.213	 -0.089	 -0.023	 -0.044	 -0.059	 -0.067	 -0.063
       0:01.214	 -0.089	 -0.018	 -0.047	 -0.066	 -0.077	 -0.074
       0:01.215	 -0.087	 -0.011	 -0.048	 -0.069	 -0.085	 -0.084
       0:01.216	 -0.087	 -0.005	 -0.047	 -0.071	 -0.091	 -0.092
       0:01.217	 -0.086	  0.001	 -0.043	 -0.071	 -0.095	 -0.096
       0:01.218	 -0.089	  0.002	 -0.041	 -0.069	 -0.096	 -0.097
       0:01.219	 -0.089	  0.001	 -0.038	 -0.068	 -0.096	 -0.098
       0:01.220	 -0.091	 -0.004	 -0.038	 -0.066	 -0.095	 -0.097
       0:01.221	 -0.089	 -0.011	 -0.038	 -0.065	 -0.092	 -0.095
       0:01.222	 -0.091	 -0.017	 -0.038	 -0.060	 -0.088	 -0.090
       0:01.223	 -0.091	 -0.022	 -0.036	 -0.056	 -0.081	 -0.083
       0:01.224	 -0.091	 -0.027	 -0.034	 -0.049	 -0.072	 -0.074
       0:01.225	 -0.087	 -0.032	 -0.031	 -0.043	 -0.063	 -0.065
       0:01.226	 -0.089	 -0.038	 -0.031	 -0.038	 -0.055	 -0.057
       0:01.227	 -0.093	 -0.042	 -0.031	 -0.036	 -0.050	 -0.051
       0:01.228	 -0.094	 -0.043	 -0.030	 -0.035	 -0.046	 -0.049
       0:01.229	 -0.093	 -0.041	 -0.030	 -0.035	 -0.044	 -0.048
       0:01.230	 -0.091	 -0.038	 -0.030	 -0.036	 -0.043	 -0.050
       0:01.231	 -0.091	 -0.031	 -0.031	 -0.038	 -0.044	 -0.054
       0:01.232	 -0.090	 -0.025	 -0.031	 -0.041	 -0.047	 -0.060
       0:01.233	 -0.090	 -0.019	 -0.033	 -0.046	 -0.053	 -0.067
       0:01.234	 -0.093	 -0.014	 -0.035	 -0.051	 -0.060	 -0.075
       0:01.235	 -0.099	 -0.008	 -0.036	 -0.056	 -0.067	 -0.084
       0:01.236	 -0.093	 -0.002	 -0.036	 -0.058	 -0.072	 -0.090
       0:01.237	 -0.087	  0.003	 -0.033	 -0.057	 -0.075	 -0.092
       0:01.238	 -0.087	  0.008	 -0.029	 -0.056	 -0.075	 -0.092
       0:01.239	 -0.089	  0.010	 -0.025	 -0.052	 -0.072	 -0.090
       0:01.240	 -0.092	  0.010	 -0.021	 -0.047	 -0.067	 -0.084
       0:01.241	 -0.095	  0.007	 -0.016	 -0.041	 -0.060	 -0.076
       0:01.242	 -0.095	  0.003	 -0.012	 -0.035	 -0.054	 -0.067
       0:01.243	 -0.098	 -0.001	 -0.008	 -0.030	 -0.046	 -0.057
       0:01.244	 -0.102	 -0.005	 -0.003	 -0.024	 -0.039	 -0.046
       0:01.245	 -0.102	 -0.009	 -0.001	 -0.019	 -0.031	 -0.036
       0:01.246	 -0.097	 -0.014	  0.001	 -0.015	 -0.024	 -0.027
       0:01.247	 -0.091	 -0.018	 -0.001	 -0.014	 -0.020	 -0.019
       0:01.248	 -0.083	 -0.019	 -0.003	 -0.013	 -0.016	 -0.016
       0:01.249	 -0.081	 -0.019	 -0.006	 -0.012	 -0.014	 -0.016
       0:01.250	 -0.074	 -0.016	 -0.008	 -0.012	 -0.015	 -0.016
       0:01.251	 -0.075	 -0.011	 -0.011	 -0.014	 -0.018	 -0.019
       0:01.252	 -0.081	 -0.005	 -0.013	 -0.016	 -0.021	 -0.025
       0:01.253	 -0.085	  0.000	 -0.016	 -0.019	 -0.027	 -0.033
       0:01.254	 -0.080	  0.006	 -0.018	 -0.023	 -0.034	 -0.041
       0:01.255	 -0.077	  0.011	 -0.019	 -0.026	 -0.041	 -0.050
       0:01.256	 -0.076	  0.016	 -0.019	 -0.027	 -0.046	 -0.057
       0:01.257	 -0.074	  0.019	 -0.018	 -0.027	 -0.051	 -0.062
       0:01.258	 -0.078	  0.019	 -0.017	 -0.028	 -0.053	 -0.065
       0:01.259	 -0.080	  0.016	 -0.017	 -0.028	 -0.054	 -0.066
       0:01.260	 -0.077	  0.010	 -0.016	 -0.027	 -0.053	 -0.065
       0:01.261	 -0.075	  0.002	 -0.016	 -0.027	 -0.051	 -0.061
       0:01.262	 -0.073	 -0.005	 -0.014	 -0.025	 -0.046	 -0.056
       0:01.263	 -0.071	 -0.010	 -0.012	 -0.021	 -0.038	 -0.047
       0:01.264	 -0.066	 -0.013	 -0.008	 -0.015	 -0.027	 -0.037
       0:01.265	 -0.062	 -0.016	 -0.004	 -0.009	 -0.017	 -0.026
       0:01.266	 -0.064	 -0.018	 -0.001	 -0.004	 -0.008	 -0.016
       0:01.267	 -0.066	 -0.021	  0.000	 -0.001	 -0.001	 -0.010
       0:01.268	 -0.070	 -0.023	 -0.001	  0.000	  0.002	 -0.006
       0:01.269	 -0.071	 -0.022	 -0.003	 -0.001	  0.004	 -0.006
       0:01.270	 -0.074	 -0.019	 -0.005	 -0.003	  0.002	 -0.009
       0:01.271	 -0.074	 -0.015	 -0.007	 -0.006	 -0.001	 -0.016
       0:01.272	 -0.072	 -0.009	 -0.010	 -0.009	 -0.006	 -0.023
       0:01.273	 -0.067	 -0.003	 -0.012	 -0.013	 -0.013	 -0.032
       0:01.274	 -0.067	  0.003	 -0.014	 -0.017	 -0.021	 -0.043
       0:01.275	 -0.074	  0.009	 -0.014	 -0.021	 -0.028	 -0.053
       0:01.276	 -0.073	  0.016	 -0.011	 -0.021	 -0.033	 -0.060
       0:01.277	 -0.075	  0.023	 -0.008	 -0.021	 -0.037	 -0.063
       0:01.278	 -0.081	  0.029	 -0.004	 -0.019	 -0.040	 -0.064
       0:01.279	 -0.085	  0.032	  0.001	 -0.015	 -0.039	 -0.061
       0:01.280	 -0.086	  0.032	  0.004	 -0.011	 -0.037	 -0.057
       0:01.281	 -0.087	  0.031	  0.008	 -0.007	 -0.034	 -0.051
       0:01.282	 -0.089	  0.028	  0.011	 -0.002	 -0.028	 -0.044
       0:01.283	 -0.095	  0.023	  0.012	  0.002	 -0.022	 -0.035
       0:01.284	 -0.101	  0.016	  0.012	  0.006	 -0.016	 -0.027
       0:01.285	 -0.109	  0.007	  0.011	  0.007	 -0.011	 -0.019
       0:01.286	 -0.110	 -0.004	  0.007	  0.007	 -0.007	 -0.012
       0:01.287	 -0.105	 -0.012	  0.002	  0.005	 -0.005	 -0.007
       0:01.288	 -0.105	 -0.018	 -0.003	  0.003	 -0.004	 -0.006
       0:01.289	 -0.111	 -0.019	 -0.006	  0.001	 -0.004	 -0.007
       0:01.290	 -0.114	 -0.016	 -0.008	 -0.001	 -0.004	 -0.008
       0:01.291	 -0.116	 -0.011	 -0.010	 -0.003	 -0.006	 -0.012
       0:01.292	 -0.121	 -0.004	 -0.011	 -0.005	 -0.009	 -0.018
       0:01.293	 -0.120	  0.003	 -0.013	 -0.008	 -0.013	 -0.025
       0:01.294	 -0.120	  0.010	 -0.016	 -0.012	 -0.019	 -0.032
       0:01.295	 -0.129	  0.017	 -0.016	 -0.016	 -0.024	 -0.040
       0:01.296	 -0.132	  0.025	 -0.015	 -0.017	 -0.030	 -0.045
       0:01.297	 -0.125	  0.031	 -0.013	 -0.018	 -0.033	 -0.047
       0:01.298	 -0.123	  0.036	 -0.011	 -0.018	 -0.034	 -0.049
       0:01.299	 -0.123	  0.038	 -0.010	 -0.017	 -0.036	 -0.049
       0:01.300	 -0.127	  0.035	 -0.009	 -0.015	 -0.036	 -0.048
       0:01.301	 -0.128	  0.030	 -0.008	 -0.012	 -0.034	 -0.044
       0:01.302	 -0.128	  0.026	 -0.006	 -0.009	 -0.030	 -0.039
       0:01.303	 -0.130	  0.020	 -0.003	 -0.006	 -0.022	 -0.031
       0:01.304	 -0.130	  0.015	 -0.001	 -0.001	 -0.015	 -0.023
       0:01.305	 -0.130	  0.008	  0.000	  0.002	 -0.008	 -0.015
       0:01.306	 -0.137	  0.001	 -0.001	  0.005	 -0.002	 -0.009
       0:01.307	 -0.145	 -0.005	 -0.003	  0.005	  0.002	 -0.005
       0:01.308	 -0.148	 -0.008	 -0.005	  0.005	  0.005	 -0.002
       0:01.309	 -0.146	 -0.007	 -0.006	  0.004	  0.006	 -0.002
       0:01.310	 -0.145	 -0.002	 -0.007	  0.002	  0.006	 -0.004
       0:01.311	 -0.145	  0.004	 -0.007	  0.001	  0.004	 -0.007
       0:01.312	 -0.149	  0.011	 -0.008	 -0.001	 -0.001	 -0.013
       0:01.313	 -0.148	  0.017	 -0.009	 -0.006	 -0.008	 -0.021
       0:01.314	 -0.147	  0.022	 -0.010	 -0.011	 -0.016	 -0.031
       0:01.315	 -0.148	  0.027	 -0.011	 -0.015	 -0.026	 -0.041
       0:01.316	 -0.145	  0.031	 -0.011	 -0.019	 -0.033	 -0.049
       0:01.317	 -0.145	  0.032	 -0.010	 -0.021	 -0.038	 -0.054
       0:01.318	 -0.148	  0.035	 -0.008	 -0.022	 -0.040	 -0.056
       0:01.319	 -0.149	  0.034	 -0.008	 -0.022	 -0.040	 -0.056
       0:01.320	 -0.149	  0.031	 -0.006	 -0.020	 -0.037	 -0.053
       0:01.321	 -0.147	  0.028	 -0.004	 -0.017	 -0.033	 -0.048
       0:01.322	 -0.144	  0.025	 -0.001	 -0.013	 -0.026	 -0.041
       0:01.323	 -0.146	  0.021	  0.003	 -0.008	 -0.017	 -0.033
       0:01.324	 -0.148	  0.016	  0.005	 -0.002	 -0.008	 -0.024
       0:01.325	 -0.144	  0.011	  0.006	  0.002	  0.001	 -0.018
       0:01.326	 -0.137	  0.006	  0.006	  0.004	  0.007	 -0.011
       0:01.327	 -0.139	  0.001	  0.004	  0.004	  0.011	 -0.007
       0:01.328	 -0.138	 -0.003	  0.001	  0.004	  0.012	 -0.007
       0:01.329	 -0.137	 -0.004	 -0.001	  0.004	  0.012	 -0.007
       0:01.330	 -0.137	 -0.001	 -0.001	  0.002	  0.012	 -0.009
       0:01.331	 -0.139	  0.004	 -0.001	  0.002	  0.010	 -0.011
       0:01.332	 -0.141	  0.009	  0.000	  0.002	  0.008	 -0.015
       0:01.333	 -0.142	  0.017	  0.001	 -0.001	  0.002	 -0.019
       0:01.334	 -0.145	  0.024	  0.001	 -0.004	 -0.005	 -0.025
       0:01.335	 -0.159	  0.030	  0.001	 -0.008	 -0.011	 -0.032
       0:01.336	 -0.170	  0.036	  0.002	 -0.011	 -0.018	 -0.038
       0:01.337	 -0.175	  0.041	  0.002	 -0.014	 -0.023	 -0.044
       0:01.338	 -0.177	  0.042	  0.002	 -0.016	 -0.027	 -0.049
       0:01.339	 -0.176	  0.042	  0.001	 -0.018	 -0.031	 -0.053
       0:01.340	 -0.176	  0.038	 -0.001	 -0.019	 -0.031	 -0.054
       0:01.341	 -0.169	  0.032	 -0.003	 -0.019	 -0.031	 -0.054
       0:01.342	 -0.151	  0.026	 -0.003	 -0.017	 -0.029	 -0.050
       0:01.343	 -0.136	  0.018	 -0.004	 -0.013	 -0.024	 -0.043
       0:01.344	 -0.120	  0.009	 -0.005	 -0.010	 -0.020	 -0.034
       0:01.345	 -0.093	 -0.001	 -0.007	 -0.007	 -0.014	 -0.023
       0:01.346	 -0.056	 -0.012	 -0.011	 -0.007	 -0.011	 -0.015
       0:01.347	 -0.016	 -0.025	 -0.016	 -0.009	 -0.010	 -0.007
       0:01.348	  0.028	 -0.037	 -0.023	 -0.013	 -0.012	 -0.002
       0:01.349	  0.088	 -0.048	 -0.031	 -0.019	 -0.015	  0.000
       0:01.350	  0.164	 -0.058	 -0.041	 -0.028	 -0.020	 -0.001
       0:01.351	  0.240	 -0.069	 -0.051	 -0.037	 -0.026	 -0.002
       0:01.352	  0.328	 -0.082	 -0.064	 -0.048	 -0.034	 -0.006
       0:01.353	  0.433	 -0.096	 -0.079	 -0.060	 -0.044	 -0.012
       0:01.354	  0.542	 -0.112	 -0.095	 -0.072	 -0.054	 -0.018
       0:01.355	  0.643	 -0.129	 -0.111	 -0.084	 -0.067	 -0.023
       0:01.356	  0.747	 -0.147	 -0.126	 -0.093	 -0.077	 -0.027
       0:01.357	  0.858	 -0.165	 -0.139	 -0.101	 -0.084	 -0.028
       0:01.358	  0.972	 -0.183	 -0.151	 -0.105	 -0.089	 -0.026
       0:01.359	  1.089	 -0.203	 -0.161	 -0.109	 -0.091	 -0.018
       0:01.360	  1.197	 -0.222	 -0.169	 -0.112	 -0.089	 -0.008
       0:01.361	  1.297	 -0.241	 -0.176	 -0.112	 -0.086	  0.003
       0:01.362	  1.398	 -0.257	 -0.180	 -0.112	 -0.081	  0.017
       0:01.363	  1.500	 -0.270	 -0.181	 -0.110	 -0.076	  0.030
       0:01.364	  1.601	 -0.281	 -0.182	 -0.107	 -0.069	  0.044
       0:01.365	  1.705	 -0.289	 -0.181	 -0.104	 -0.063	  0.055
       0:01.366	  1.791	 -0.294	 -0.179	 -0.100	 -0.057	  0.065
       0:01.367	  1.862	 -0.296	 -0.177	 -0.098	 -0.052	  0.071
       0:01.368	  1.931	 -0.295	 -0.175	 -0.096	 -0.048	  0.074
       0:01.369	  2.004	 -0.290	 -0.171	 -0.094	 -0.044	  0.076
       0:01.370	  2.068	 -0.281	 -0.167	 -0.093	 -0.043	  0.074
       0:01.371	  2.113	 -0.270	 -0.163	 -0.092	 -0.043	  0.069
       0:01.372	  2.145	 -0.260	 -0.162	 -0.093	 -0.046	  0.061
       0:01.373	  2.157	 -0.249	 -0.160	 -0.095	 -0.052	  0.051
       0:01.374	  2.136	 -0.237	 -0.160	 -0.095	 -0.059	  0.040
       0:01.375	  2.072	 -0.221	 -0.155	 -0.094	 -0.064	  0.029
       0:01.376	  1.975	 -0.201	 -0.147	 -0.090	 -0.066	  0.021
       0:01.377	  1.849	 -0.177	 -0.134	 -0.082	 -0.064	  0.014
       0:01.378	  1.710	 -0.152	 -0.119	 -0.073	 -0.060	  0.008
       0:01.379	  1.575	 -0.126	 -0.101	 -0.063	 -0.055	  0.003
       0:01.380	  1.433	 -0.101	 -0.084	 -0.054	 -0.049	 -0.003
       0:01.381	  1.287	 -0.078	 -0.065	 -0.043	 -0.042	 -0.007
       0:01.382	  1.139	 -0.057	 -0.048	 -0.030	 -0.033	 -0.007
       0:01.383	  0.993	 -0.038	 -0.029	 -0.016	 -0.021	 -0.005
       0:01.384	  0.864	 -0.020	 -0.012	 -0.001	 -0.007	  0.004
       0:01.385	  0.746	 -0.006	  0.004	  0.014	  0.008	  0.016
       0:01.386	  0.627	  0.005	  0.019	  0.028	  0.022	  0.029
       0:01.387	  0.509	  0.012	  0.027	  0.038	  0.034	  0.040
       0:01.388	  0.390	  0.017	  0.034	  0.045	  0.040	  0.049
       0:01.389	  0.268	  0.021	  0.036	  0.048	  0.043	  0.053
       0:01.390	  0.150	  0.024	  0.035	  0.046	  0.040	  0.052
       0:01.391	  0.032	  0.025	  0.032	  0.042	  0.034	  0.045
       0:01.392	 -0.080	  0.026	  0.026	  0.035	  0.022	  0.034
       0:01.393	 -0.171	  0.027	  0.020	  0.026	  0.010	  0.019
       0:01.394	 -0.234	  0.030	  0.013	  0.019	 -0.004	  0.003
       0:01.395	 -0.261	  0.032	  0.008	  0.011	 -0.017	 -0.012
       0:01.396	 -0.253	  0.036	  0.004	  0.005	 -0.027	 -0.026
       0:01.397	 -0.229	  0.040	  0.003	  0.001	 -0.034	 -0.036
       0:01.398	 -0.205	  0.042	  0.004	  0.001	 -0.038	 -0.043
       0:01.399	 -0.176	  0.044	  0.006	  0.002	 -0.039	 -0.045
       0:01.400	 -0.141	  0.042	  0.008	  0.005	 -0.036	 -0.043
       0:01.401	 -0.105	  0.039	  0.012	  0.009	 -0.031	 -0.037
       0:01.402	 -0.074	  0.035	  0.016	  0.014	 -0.023	 -0.028
       0:01.403	 -0.055	  0.030	  0.020	  0.019	 -0.014	 -0.018
       0:01.404	 -0.046	  0.025	  0.023	  0.022	 -0.005	 -0.007
       0:01.405	 -0.043	  0.019	  0.023	  0.027	  0.005	  0.001
       0:01.406	 -0.051	  0.015	  0.021	  0.028	  0.011	  0.007
       0:01.407	 -0.059	  0.010	  0.019	  0.027	  0.015	  0.011
       0:01.408	 -0.061	  0.008	  0.017	  0.025	  0.017	  0.012
       0:01.409	 -0.065	  0.009	  0.015	  0.024	  0.018	  0.011
       0:01.410	 -0.077	  0.011	  0.013	  0.022	  0.016	  0.009
       0:01.411	 -0.095	  0.016	  0.012	  0.018	  0.013	  0.005
       0:01.412	 -0.112	  0.022	  0.011	  0.014	  0.008	 -0.002
       0:01.413	 -0.129	  0.027	  0.008	  0.009	  0.002	 -0.011
       0:01.414	 -0.141	  0.031	  0.006	  0.004	 -0.005	 -0.020
       0:01.415	 -0.148	  0.037	  0.004	  0.000	 -0.012	 -0.029
       0:01.416	 -0.154	  0.042	  0.003	 -0.004	 -0.017	 -0.037
       0:01.417	 -0.156	  0.046	  0.004	 -0.005	 -0.021	 -0.043
       0:01.418	 -0.158	  0.048	  0.004	 -0.006	 -0.024	 -0.048
       0:01.419	 -0.161	  0.046	  0.003	 -0.007	 -0.026	 -0.051
       0:01.420	 -0.158	  0.040	  0.002	 -0.007	 -0.028	 -0.052
       0:01.421	 -0.151	  0.032	  0.001	 -0.007	 -0.027	 -0.050
       0:01.422	 -0.150	  0.023	  0.001	 -0.006	 -0.025	 -0.046
       0:01.423	 -0.157	  0.016	  0.002	 -0.002	 -0.020	 -0.038
       0:01.424	 -0.158	  0.008	  0.004	  0.003	 -0.012	 -0.030
       0:01.425	 -0.149	 -0.001	  0.007	  0.007	 -0.004	 -0.021
       0:01.426	 -0.150	 -0.008	  0.008	  0.012	  0.004	 -0.014
       0:01.427	 -0.152	 -0.015	  0.008	  0.015	  0.009	 -0.007
       0:01.428	 -0.149	 -0.018	  0.007	  0.017	  0.014	 -0.003
       0:01.429	 -0.143	 -0.018	  0.006	  0.019	  0.016	  0.000
       0:01.430	 -0.139	 -0.014	  0.005	  0.020	  0.016	  0.001
       0:01.431	 -0.136	 -0.008	  0.004	  0.020	  0.015	 -0.001
       0:01.432	 -0.137	 -0.002	  0.004	  0.017	  0.011	 -0.005
       0:01.433	 -0.144	  0.005	  0.002	  0.014	  0.005	 -0.012
       0:01.434	 -0.148	  0.012	 -0.001	  0.009	 -0.002	 -0.024
       0:01.435	 -0.149	  0.018	 -0.003	  0.003	 -0.010	 -0.034
       0:01.436	 -0.149	  0.024	 -0.005	 -0.001	 -0.017	 -0.043
       0:01.437	 -0.156	  0.028	 -0.006	 -0.004	 -0.022	 -0.049
       0:01.438	 -0.158	  0.031	 -0.005	 -0.005	 -0.026	 -0.053
       0:01.439	 -0.158	  0.029	 -0.005	 -0.004	 -0.028	 -0.052
       0:01.440	 -0.160	  0.025	 -0.004	 -0.002	 -0.027	 -0.048
       0:01.441	 -0.162	  0.019	 -0.002	  0.002	 -0.024	 -0.043
       0:01.442	 -0.161	  0.012	  0.001	  0.009	 -0.018	 -0.034
       0:01.443	 -0.165	  0.006	  0.004	  0.015	 -0.011	 -0.023
       0:01.444	 -0.168	 -0.001	  0.007	  0.022	 -0.002	 -0.012
       0:01.445	 -0.164	 -0.007	  0.010	  0.028	  0.006	 -0.001
       0:01.446	 -0.159	 -0.012	  0.010	  0.031	  0.012	  0.010
       0:01.447	 -0.159	 -0.016	  0.010	  0.035	  0.017	  0.018
       0:01.448	 -0.161	 -0.018	  0.009	  0.036	  0.020	  0.023
       0:01.449	 -0.166	 -0.017	  0.008	  0.038	  0.020	  0.026
       0:01.450	 -0.167	 -0.013	  0.006	  0.038	  0.019	  0.024
       0:01.451	 -0.164	 -0.008	  0.006	  0.036	  0.014	  0.019
       0:01.452	 -0.162	 -0.002	  0.004	  0.033	  0.008	  0.012
       0:01.453	 -0.159	  0.004	  0.003	  0.028	  0.001	  0.002
       0:01.454	 -0.156	  0.010	  0.000	  0.021	 -0.008	 -0.010
       0:01.455	 -0.154	  0.016	 -0.001	  0.014	 -0.018	 -0.020
       0:01.456	 -0.151	  0.022	  0.000	  0.009	 -0.024	 -0.029
       0:01.457	 -0.142	  0.028	  0.001	  0.006	 -0.027	 -0.035
       0:01.458	 -0.140	  0.031	  0.003	  0.004	 -0.029	 -0.037
       0:01.459	 -0.141	  0.031	  0.005	  0.004	 -0.028	 -0.037
       0:01.460	 -0.144	  0.028	  0.007	  0.004	 -0.025	 -0.035
       0:01.461	 -0.143	  0.024	  0.009	  0.007	 -0.020	 -0.030
       0:01.462	 -0.140	  0.019	  0.011	  0.011	 -0.013	 -0.024
       0:01.463	 -0.140	  0.013	  0.013	  0.016	 -0.005	 -0.017
       0:01.464	 -0.139	  0.007	  0.016	  0.021	  0.004	 -0.008
       0:01.465	 -0.137	  0.000	  0.018	  0.024	  0.011	  0.001
       0:01.466	 -0.140	 -0.008	  0.018	  0.028	  0.017	  0.008
       0:01.467	 -0.143	 -0.013	  0.018	  0.028	  0.020	  0.015
       0:01.468	 -0.145	 -0.016	  0.017	  0.029	  0.021	  0.019
       0:01.469	 -0.148	 -0.016	  0.016	  0.028	  0.021	  0.021
       0:01.470	 -0.152	 -0.013	  0.017	  0.028	  0.021	  0.022
       0:01.471	 -0.152	 -0.009	  0.017	  0.027	  0.019	  0.020
       0:01.472	 -0.155	 -0.005	  0.016	  0.023	  0.015	  0.015
       0:01.473	 -0.155	 -0.002	  0.013	  0.018	  0.009	  0.007
       0:01.474	 -0.154	 -0.001	  0.009	  0.012	  0.001	 -0.004
       0:01.475	 -0.154	  0.002	  0.004	  0.006	 -0.007	 -0.015
       0:01.476	 -0.156	  0.005	  0.000	  0.001	 -0.014	 -0.023
       0:01.477	 -0.159	  0.008	 -0.002	 -0.001	 -0.020	 -0.030
       0:01.478	 -0.165	  0.011	 -0.002	 -0.001	 -0.023	 -0.034
       0:01.479	 -0.167	  0.013	 -0.001	  0.002	 -0.025	 -0.034
       0:01.480	 -0.164	  0.013	  0.001	  0.006	 -0.024	 -0.031
       0:01.481	 -0.161	  0.012	  0.004	  0.009	 -0.020	 -0.026
       0:01.482	 -0.160	  0.009	  0.008	  0.015	 -0.014	 -0.018
       0:01.483	 -0.162	  0.006	  0.012	  0.020	 -0.006	 -0.008
       0:01.484	 -0.161	  0.002	  0.015	  0.025	  0.001	  0.002
       0:01.485	 -0.154	 -0.004	  0.017	  0.030	  0.007	  0.012
       0:01.486	 -0.149	 -0.010	  0.016	  0.030	  0.011	  0.020
       0:01.487	 -0.149	 -0.016	  0.014	  0.030	  0.011	  0.025
       0:01.488	 -0.148	 -0.021	  0.011	  0.028	  0.009	  0.029
       0:01.489	 -0.145	 -0.021	  0.008	  0.026	  0.008	  0.029
       0:01.490	 -0.141	 -0.018	  0.007	  0.025	  0.005	  0.026
       0:01.491	 -0.136	 -0.012	  0.006	  0.022	  0.002	  0.023
       0:01.492	 -0.138	 -0.006	  0.005	  0.019	 -0.002	  0.019
       0:01.493	 -0.137	  0.001	  0.003	  0.017	 -0.007	  0.012
       0:01.494	 -0.135	  0.009	  0.003	  0.013	 -0.012	  0.005
       0:01.495	 -0.130	  0.018	  0.003	  0.011	 -0.017	 -0.002
       0:01.496	 -0.127	  0.027	  0.004	  0.008	 -0.021	 -0.007
       0:01.497	 -0.124	  0.034	  0.006	  0.007	 -0.024	 -0.011
       0:01.498	 -0.123	  0.038	  0.009	  0.007	 -0.026	 -0.011
       0:01.499	 -0.121	  0.038	  0.011	  0.007	 -0.026	 -0.011
       0:01.500	 -0.119	  0.034	  0.012	  0.006	 -0.026	 -0.010
       0:01.501	 -0.117	  0.028	  0.013	  0.006	 -0.024	 -0.005
       0:01.502	 -0.114	  0.021	  0.014	  0.007	 -0.021	  0.001
       0:01.503	 -0.112	  0.013	  0.016	  0.010	 -0.014	  0.009
       0:01.504	 -0.110	  0.007	  0.018	  0.016	 -0.005	  0.018
       0:01.505	 -0.107	  0.001	  0.021	  0.021	  0.005	  0.028
       0:01.506	 -0.110	 -0.004	  0.024	  0.026	  0.013	  0.036
       0:01.507	 -0.116	 -0.007	  0.026	  0.030	  0.021	  0.044
       0:01.508	 -0.117	 -0.007	  0.027	  0.033	  0.025	  0.048
       0:01.509	 -0.113	 -0.004	  0.027	  0.033	  0.027	  0.050
       0:01.510	 -0.111	  0.002	  0.025	  0.031	  0.024	  0.048
       0:01.511	 -0.110	  0.008	  0.023	  0.026	  0.020	  0.041
       0:01.512	 -0.111	  0.015	  0.019	  0.019	  0.011	  0.032
       0:01.513	 -0.110	  0.022	  0.015	  0.012	  0.001	  0.020
       0:01.514	 -0.110	  0.030	  0.013	  0.006	 -0.009	  0.006
       0:01.515	 -0.112	  0.039	  0.014	  0.004	 -0.018	 -0.006
       0:01.516	 -0.110	  0.050	  0.019	  0.002	 -0.026	 -0.016
       0:01.517	 -0.104	  0.061	  0.026	  0.006	 -0.031	 -0.024
       0:01.518	 -0.105	  0.069	  0.034	  0.009	 -0.035	 -0.028
       0:01.519	 -0.106	  0.074	  0.041	  0.015	 -0.035	 -0.028
       0:01.520	 -0.105	  0.075	  0.045	  0.022	 -0.032	 -0.023
       0:01.521	 -0.104	  0.071	  0.046	  0.030	 -0.025	 -0.012
       0:01.522	 -0.101	  0.063	  0.046	  0.037	 -0.014	  0.002
       0:01.523	 -0.106	  0.052	  0.041	  0.045	  0.001	  0.019
       0:01.524	 -0.110	  0.040	  0.036	  0.050	  0.018	  0.038
       0:01.525	 -0.108	  0.026	  0.027	  0.052	  0.033	  0.057
       0:01.526	 -0.106	  0.012	  0.017	  0.051	  0.047	  0.072
       0:01.527	 -0.104	  0.001	  0.008	  0.047	  0.056	  0.082
       0:01.528	 -0.101	 -0.005	 -0.001	  0.041	  0.060	  0.087
       0:01.529	 -0.101	 -0.006	 -0.005	  0.035	  0.059	  0.087
       0:01.530	 -0.101	 -0.002	 -0.006	  0.030	  0.053	  0.083
       0:01.531	 -0.098	  0.003	 -0.004	  0.024	  0.044	  0.072
       0:01.532	 -0.098	  0.010	 -0.003	  0.016	  0.030	  0.057
       0:01.533	 -0.095	  0.016	 -0.001	  0.010	  0.015	  0.043
       0:01.534	 -0.096	  0.022	  0.000	  0.003	  0.000	  0.026
       0:01.535	 -0.099	  0.029	  0.002	 -0.002	 -0.012	  0.012
       0:01.536	 -0.098	  0.038	  0.005	 -0.004	 -0.020	  0.002
       0:01.537	 -0.097	  0.045	  0.010	 -0.004	 -0.022	 -0.003
       0:01.538	 -0.101	  0.051	  0.014	 -0.002	 -0.021	 -0.005
       0:01.539	 -0.102	  0.053	  0.017	 -0.001	 -0.018	 -0.004
       0:01.540	 -0.099	  0.053	  0.018	  0.001	 -0.012	 -0.001
       0:01.541	 -0.095	  0.050	  0.019	  0.004	 -0.007	  0.002
       0:01.542	 -0.092	  0.046	  0.019	  0.007	  0.000	  0.007
