   Elapsed time	   ECG1	   ECG2
       0:03.044	 -0.110	 -0.140
       0:03.048	 -0.730	 -0.065
       0:03.052	 -0.560	  0.010
       0:03.056	  0.095	 -0.025
       0:03.060	  0.030	 -0.030
       0:03.064	 -0.595	  0.020
       0:03.068	 -0.590	  0.080
       0:03.072	  0.070	  0.065
       0:03.076	  0.130	  0.050
       0:03.080	 -0.520	  0.075
       0:03.084	 -0.630	  0.195
       0:03.088	  0.005	  0.205
       0:03.092	  0.165	  0.170
       0:03.096	 -0.425	  0.160
       0:03.100	 -0.555	  0.300
       0:03.104	  0.050	  0.340
       0:03.108	  0.275	  0.295
       0:03.112	 -0.280	  0.360
       0:03.116	 -0.505	  0.375
       0:03.120	  0.075	  0.445
       0:03.124	  0.355	  0.360
       0:03.128	 -0.190	  0.365
       0:03.132	 -0.510	  0.425
       0:03.136	  0.020	  0.465
       0:03.140	  0.415	  0.390
       0:03.144	 -0.025	  0.395
       0:03.148	 -0.470	  0.440
       0:03.152	 -0.040	  0.475
       0:03.156	  0.495	  0.410
       0:03.160	  0.150	  0.360
       0:03.164	 -0.445	  0.405
       0:03.168	 -0.200	  0.445
       0:03.172	  0.400	  0.380
       0:03.176	  0.220	  0.270
       0:03.180	 -0.420	  0.265
       0:03.184	 -0.390	  0.295
       0:03.188	  0.230	  0.220
       0:03.192	  0.245	  0.125
       0:03.196	 -0.410	  0.120
       0:03.200	 -0.550	  0.160
       0:03.204	  0.050	  0.110
       0:03.208	  0.195	  0.000
       0:03.212	 -0.430	 -0.040
       0:03.216	 -0.645	  0.010
       0:03.220	 -0.040	  0.005
       0:03.224	  0.200	 -0.100
       0:03.228	 -0.400	 -0.140
       0:03.232	 -0.665	 -0.100
       0:03.236	 -0.120	 -0.100
       0:03.240	  0.180	 -0.170
       0:03.244	 -0.375	 -0.175
       0:03.248	 -0.745	 -0.170
       0:03.252	 -0.215	 -0.155
       0:03.256	  0.180	 -0.225
       0:03.260	 -0.260	 -0.225
       0:03.264	 -0.720	 -0.175
       0:03.268	 -0.285	 -0.125
       0:03.272	  0.220	 -0.205
       0:03.276	 -0.135	 -0.240
       0:03.280	 -0.695	 -0.180
       0:03.284	 -0.450	 -0.150
       0:03.288	  0.180	 -0.200
       0:03.292	  0.050	 -0.250
       0:03.296	 -0.600	 -0.205
       0:03.300	 -0.625	 -0.145
       0:03.304	  0.055	 -0.180
       0:03.308	  0.150	 -0.240
       0:03.312	 -0.475	 -0.235
       0:03.316	 -0.635	 -0.165
       0:03.320	 -0.015	 -0.180
       0:03.324	  0.175	 -0.235
       0:03.328	 -0.410	 -0.250
       0:03.332	 -0.685	 -0.150
       0:03.336	 -0.080	 -0.155
       0:03.340	  0.225	 -0.195
       0:03.344	 -0.305	 -0.235
       0:03.348	 -0.710	 -0.180
       0:03.352	 -0.195	 -0.145
       0:03.356	  0.200	 -0.215
       0:03.360	 -0.240	 -0.245
       0:03.364	 -0.715	 -0.210
       0:03.368	 -0.330	 -0.160
       0:03.372	  0.170	 -0.215
       0:03.376	 -0.215	 -0.250
       0:03.380	 -0.730	 -0.210
       0:03.384	 -0.390	 -0.195
       0:03.388	  0.200	 -0.235
       0:03.392	 -0.045	 -0.310
       0:03.396	 -0.680	 -0.285
       0:03.400	 -0.510	 -0.230
       0:03.404	  0.110	 -0.210
       0:03.408	  0.055	 -0.320
       0:03.412	 -0.605	 -0.280
       0:03.416	 -0.645	 -0.230
       0:03.420	  0.025	 -0.240
       0:03.424	  0.150	 -0.315
       0:03.428	 -0.490	 -0.310
       0:03.432	 -0.680	 -0.255
       0:03.436	 -0.060	 -0.245
       0:03.440	  0.160	 -0.350
       0:03.444	 -0.450	 -0.350
       0:03.448	 -0.740	 -0.255
       0:03.452	 -0.160	 -0.265
       0:03.456	  0.170	 -0.315
       0:03.460	 -0.370	 -0.365
       0:03.464	 -0.720	 -0.285
       0:03.468	 -0.240	 -0.260
       0:03.472	  0.185	 -0.335
       0:03.476	 -0.300	 -0.370
       0:03.480	 -0.725	 -0.290
       0:03.484	 -0.255	 -0.230
       0:03.488	  0.205	 -0.320
       0:03.492	 -0.225	 -0.310
       0:03.496	 -0.650	 -0.230
       0:03.500	 -0.130	 -0.120
       0:03.504	  0.290	 -0.165
       0:03.508	 -0.160	 -0.165
       0:03.512	 -0.595	 -0.080
       0:03.516	 -0.060	 -0.030
       0:03.520	  0.390	 -0.140
       0:03.524	 -0.065	 -0.190
       0:03.528	 -0.605	 -0.185
       0:03.532	 -0.240	 -0.185
       0:03.536	  0.225	 -0.330
       0:03.540	 -0.145	 -0.475
       0:03.544	 -0.680	 -0.410
       0:03.548	 -0.345	 -0.380
       0:03.552	  0.195	 -0.410
       0:03.556	 -0.110	 -0.445
       0:03.560	 -0.735	 -0.400
       0:03.564	 -0.545	 -0.340
       0:03.568	  0.040	 -0.360
       0:03.572	 -0.110	 -0.415
       0:03.576	 -0.770	 -0.400
       0:03.580	 -0.690	 -0.355
       0:03.584	 -0.040	 -0.405
       0:03.588	 -0.030	 -0.440
       0:03.592	 -0.675	 -0.470
       0:03.596	 -0.720	 -0.395
       0:03.600	 -0.100	 -0.405
       0:03.604	  0.020	 -0.460
       0:03.608	 -0.600	 -0.440
       0:03.612	 -0.710	 -0.390
       0:03.616	 -0.090	 -0.370
       0:03.620	  0.075	 -0.430
       0:03.624	 -0.550	 -0.410
       0:03.628	 -0.735	 -0.365
       0:03.632	 -0.190	 -0.300
       0:03.636	 -0.080	 -0.170
       0:03.640	 -0.575	  0.040
       0:03.644	 -0.585	  0.130
       0:03.648	  0.280	  0.080
       0:03.652	  0.920	  0.195
       0:03.656	  0.745	  0.365
       0:03.660	  0.855	 -0.205
       0:03.664	  1.530	 -0.945
       0:03.668	  1.445	 -1.525
       0:03.672	  0.180	 -1.790
       0:03.676	 -0.740	 -2.115
       0:03.680	 -0.705	 -2.320
       0:03.684	 -0.480	 -2.520
       0:03.688	 -0.780	 -2.740
       0:03.692	 -1.185	 -2.610
       0:03.696	 -0.675	 -1.855
       0:03.700	  0.055	 -1.290
       0:03.704	 -0.115	 -0.890
       0:03.708	 -0.720	 -0.495
       0:03.712	 -0.590	 -0.210
       0:03.716	 -0.005	 -0.210
       0:03.720	 -0.175	 -0.290
       0:03.724	 -0.750	 -0.220
       0:03.728	 -0.620	 -0.165
       0:03.732	  0.040	 -0.210
       0:03.736	 -0.080	 -0.285
       0:03.740	 -0.725	 -0.260
       0:03.744	 -0.615	 -0.180
       0:03.748	  0.000	 -0.215
       0:03.752	 -0.080	 -0.240
       0:03.756	 -0.710	 -0.210
       0:03.760	 -0.635	 -0.150
       0:03.764	 -0.010	 -0.180
       0:03.768	 -0.065	 -0.210
       0:03.772	 -0.665	 -0.225
       0:03.776	 -0.635	 -0.140
       0:03.780	  0.000	 -0.120
       0:03.784	  0.030	 -0.200
       0:03.788	 -0.610	 -0.170
       0:03.792	 -0.680	 -0.100
       0:03.796	 -0.020	 -0.085
       0:03.800	  0.120	 -0.150
       0:03.804	 -0.530	 -0.125
       0:03.808	 -0.715	 -0.070
       0:03.812	 -0.100	 -0.055
       0:03.816	  0.165	 -0.090
       0:03.820	 -0.340	 -0.110
       0:03.824	 -0.730	  0.005
       0:03.828	 -0.220	  0.025
       0:03.832	  0.210	 -0.015
       0:03.836	 -0.215	 -0.035
       0:03.840	 -0.645	  0.080
       0:03.844	 -0.205	  0.115
       0:03.848	  0.290	  0.090
       0:03.852	 -0.125	  0.075
       0:03.856	 -0.585	  0.160
       0:03.860	 -0.215	  0.235
       0:03.864	  0.305	  0.215
       0:03.868	 -0.075	  0.210
       0:03.872	 -0.560	  0.240
       0:03.876	 -0.125	  0.310
       0:03.880	  0.350	  0.275
       0:03.884	 -0.085	  0.245
       0:03.888	 -0.540	  0.345
       0:03.892	 -0.090	  0.375
       0:03.896	  0.390	  0.325
       0:03.900	 -0.025	  0.275
       0:03.904	 -0.535	  0.315
       0:03.908	 -0.135	  0.335
       0:03.912	  0.375	  0.280
       0:03.916	  0.000	  0.235
       0:03.920	 -0.570	  0.250
       0:03.924	 -0.260	  0.250
       0:03.928	  0.250	  0.200
       0:03.932	 -0.050	  0.095
       0:03.936	 -0.640	  0.115
       0:03.940	 -0.430	  0.110
       0:03.944	  0.145	  0.005
       0:03.948	 -0.080	 -0.105
       0:03.952	 -0.715	 -0.080
       0:03.956	 -0.535	 -0.065
       0:03.960	  0.095	 -0.140
       0:03.964	 -0.080	 -0.190
       0:03.968	 -0.695	 -0.195
       0:03.972	 -0.575	 -0.170
       0:03.976	  0.025	 -0.225
       0:03.980	 -0.095	 -0.290
       0:03.984	 -0.720	 -0.285
       0:03.988	 -0.560	 -0.240
       0:03.992	  0.065	 -0.265
       0:03.996	 -0.120	 -0.345
       0:04.000	 -0.700	 -0.335
       0:04.004	 -0.555	 -0.260
       0:04.008	  0.075	 -0.315
       0:04.012	 -0.105	 -0.340
       0:04.016	 -0.715	 -0.305
       0:04.020	 -0.535	 -0.230
       0:04.024	  0.095	 -0.275
       0:04.028	 -0.055	 -0.325
       0:04.032	 -0.670	 -0.305
       0:04.036	 -0.550	 -0.255
       0:04.040	  0.060	 -0.265
       0:04.044	 -0.030	 -0.320
       0:04.048	 -0.695	 -0.285
       0:04.052	 -0.585	 -0.225
       0:04.056	  0.070	 -0.260
       0:04.060	  0.015	 -0.340
       0:04.064	 -0.630	 -0.300
       0:04.068	 -0.615	 -0.250
       0:04.072	  0.025	 -0.285
       0:04.076	  0.060	 -0.345
       0:04.080	 -0.585	 -0.290
       0:04.084	 -0.660	 -0.235
       0:04.088	 -0.040	 -0.275
       0:04.092	  0.060	 -0.315
       0:04.096	 -0.530	 -0.330
       0:04.100	 -0.700	 -0.260
       0:04.104	 -0.135	 -0.280
       0:04.108	  0.120	 -0.335
       0:04.112	 -0.465	 -0.360
       0:04.116	 -0.760	 -0.295
       0:04.120	 -0.205	 -0.280
       0:04.124	  0.125	 -0.355
       0:04.128	 -0.410	 -0.330
       0:04.132	 -0.760	 -0.270
       0:04.136	 -0.225	 -0.275
       0:04.140	  0.150	 -0.345
       0:04.144	 -0.365	 -0.330
       0:04.148	 -0.760	 -0.305
       0:04.152	 -0.265	 -0.270
       0:04.156	  0.160	 -0.355
       0:04.160	 -0.355	 -0.355
       0:04.164	 -0.775	 -0.290
       0:04.168	 -0.305	 -0.290
       0:04.172	  0.145	 -0.365
       0:04.176	 -0.300	 -0.360
       0:04.180	 -0.775	 -0.295
       0:04.184	 -0.335	 -0.275
       0:04.188	  0.155	 -0.305
       0:04.192	 -0.155	 -0.350
       0:04.196	 -0.730	 -0.315
       0:04.200	 -0.445	 -0.275
       0:04.204	  0.130	 -0.300
       0:04.208	 -0.105	 -0.375
       0:04.212	 -0.710	 -0.310
       0:04.216	 -0.575	 -0.240
       0:04.220	  0.070	 -0.295
       0:04.224	  0.015	 -0.345
       0:04.228	 -0.630	 -0.285
       0:04.232	 -0.605	 -0.220
       0:04.236	  0.080	 -0.255
       0:04.240	  0.205	 -0.280
       0:04.244	 -0.455	 -0.210
       0:04.248	 -0.565	 -0.110
       0:04.252	  0.050	 -0.060
       0:04.256	  0.225	 -0.110
       0:04.260	 -0.330	 -0.075
       0:04.264	 -0.460	 -0.015
       0:04.268	  0.120	 -0.060
       0:04.272	  0.250	 -0.230
       0:04.276	 -0.385	 -0.230
       0:04.280	 -0.585	 -0.220
       0:04.284	  0.015	 -0.335
       0:04.288	  0.165	 -0.495
       0:04.292	 -0.510	 -0.450
       0:04.296	 -0.630	 -0.380
       0:04.300	  0.000	 -0.370
       0:04.304	  0.115	 -0.420
       0:04.308	 -0.530	 -0.425
       0:04.312	 -0.715	 -0.380
       0:04.316	 -0.145	 -0.330
       0:04.320	  0.040	 -0.380
       0:04.324	 -0.570	 -0.415
       0:04.328	 -0.815	 -0.330
       0:04.332	 -0.235	 -0.390
       0:04.336	  0.070	 -0.455
       0:04.340	 -0.475	 -0.495
       0:04.344	 -0.815	 -0.395
       0:04.348	 -0.270	 -0.400
       0:04.352	  0.115	 -0.415
       0:04.356	 -0.365	 -0.480
       0:04.360	 -0.805	 -0.425
       0:04.364	 -0.340	 -0.355
       0:04.368	  0.105	 -0.395
       0:04.372	 -0.350	 -0.460
       0:04.376	 -0.840	 -0.320
       0:04.380	 -0.455	 -0.110
       0:04.384	  0.085	  0.060
       0:04.388	 -0.165	  0.095
       0:04.392	 -0.320	  0.100
       0:04.396	  0.540	  0.310
       0:04.400	  1.315	  0.345
       0:04.404	  1.210	 -0.365
       0:04.408	  0.950	 -1.075
       0:04.412	  0.975	 -1.515
       0:04.416	  0.630	 -1.835
       0:04.420	 -0.390	 -2.240
       0:04.424	 -1.280	 -2.560
       0:04.428	 -0.960	 -2.570
       0:04.432	 -0.270	 -2.595
       0:04.436	 -0.655	 -2.245
       0:04.440	 -0.980	 -1.535
       0:04.444	 -0.335	 -0.970
       0:04.448	  0.110	 -0.650
       0:04.452	 -0.380	 -0.365
       0:04.456	 -0.875	 -0.205
       0:04.460	 -0.455	 -0.155
       0:04.464	  0.065	 -0.195
       0:04.468	 -0.255	 -0.250
       0:04.472	 -0.835	 -0.205
       0:04.476	 -0.535	 -0.135
       0:04.480	  0.055	 -0.200
       0:04.484	 -0.200	 -0.220
       0:04.488	 -0.765	 -0.195
       0:04.492	 -0.480	 -0.150
       0:04.496	  0.055	 -0.225
       0:04.500	 -0.135	 -0.205
       0:04.504	 -0.750	 -0.210
       0:04.508	 -0.485	 -0.115
       0:04.512	  0.070	 -0.170
       0:04.516	 -0.195	 -0.225
       0:04.520	 -0.760	 -0.165
       0:04.524	 -0.470	 -0.115
       0:04.528	  0.100	 -0.170
       0:04.532	 -0.215	 -0.190
       0:04.536	 -0.765	 -0.145
       0:04.540	 -0.415	 -0.110
       0:04.544	  0.135	 -0.090
       0:04.548	 -0.170	 -0.140
       0:04.552	 -0.730	 -0.070
       0:04.556	 -0.465	 -0.020
       0:04.560	  0.115	 -0.040
       0:04.564	 -0.070	 -0.085
       0:04.568	 -0.720	  0.000
       0:04.572	 -0.520	  0.045
       0:04.576	  0.140	  0.025
       0:04.580	  0.090	  0.005
       0:04.584	 -0.535	  0.040
       0:04.588	 -0.550	  0.140
       0:04.592	  0.105	  0.165
       0:04.596	  0.220	  0.120
       0:04.600	 -0.385	  0.135
       0:04.604	 -0.575	  0.230
       0:04.608	  0.050	  0.250
       0:04.612	  0.315	  0.200
       0:04.616	 -0.220	  0.225
       0:04.620	 -0.530	  0.330
       0:04.624	  0.050	  0.350
       0:04.628	  0.390	  0.295
       0:04.632	 -0.120	  0.270
       0:04.636	 -0.465	  0.320
       0:04.640	  0.020	  0.370
       0:04.644	  0.405	  0.315
       0:04.648	 -0.085	  0.290
       0:04.652	 -0.490	  0.330
       0:04.656	 -0.010	  0.335
       0:04.660	  0.365	  0.280
       0:04.664	 -0.165	  0.210
       0:04.668	 -0.610	  0.260
       0:04.672	 -0.165	  0.250
       0:04.676	  0.285	  0.125
       0:04.680	 -0.235	  0.060
       0:04.684	 -0.705	  0.090
       0:04.688	 -0.295	  0.075
       0:04.692	  0.180	 -0.050
       0:04.696	 -0.205	 -0.165
       0:04.700	 -0.765	 -0.135
       0:04.704	 -0.440	 -0.100
       0:04.708	  0.125	 -0.225
       0:04.712	 -0.170	 -0.300
       0:04.716	 -0.805	 -0.290
       0:04.720	 -0.575	 -0.240
       0:04.724	  0.035	 -0.320
       0:04.728	 -0.075	 -0.415
       0:04.732	 -0.695	 -0.385
       0:04.736	 -0.595	 -0.335
       0:04.740	  0.025	 -0.360
       0:04.744	  0.015	 -0.445
       0:04.748	 -0.620	 -0.465
       0:04.752	 -0.690	 -0.370
       0:04.756	 -0.105	 -0.355
       0:04.760	  0.065	 -0.445
       0:04.764	 -0.520	 -0.415
       0:04.768	 -0.675	 -0.370
       0:04.772	 -0.125	 -0.395
       0:04.776	  0.110	 -0.430
       0:04.780	 -0.485	 -0.390
       0:04.784	 -0.735	 -0.335
       0:04.788	 -0.165	 -0.315
       0:04.792	  0.085	 -0.410
       0:04.796	 -0.470	 -0.400
       0:04.800	 -0.715	 -0.345
       0:04.804	 -0.140	 -0.320
       0:04.808	  0.095	 -0.405
       0:04.812	 -0.500	 -0.390
       0:04.816	 -0.715	 -0.345
       0:04.820	 -0.125	 -0.335
       0:04.824	  0.045	 -0.410
       0:04.828	 -0.545	 -0.415
       0:04.832	 -0.735	 -0.315
       0:04.836	 -0.155	 -0.350
       0:04.840	  0.085	 -0.365
       0:04.844	 -0.465	 -0.425
       0:04.848	 -0.765	 -0.320
       0:04.852	 -0.215	 -0.325
       0:04.856	  0.130	 -0.405
       0:04.860	 -0.380	 -0.425
       0:04.864	 -0.790	 -0.350
       0:04.868	 -0.335	 -0.375
       0:04.872	  0.090	 -0.410
       0:04.876	 -0.345	 -0.435
       0:04.880	 -0.825	 -0.410
       0:04.884	 -0.440	 -0.350
       0:04.888	  0.105	 -0.390
       0:04.892	 -0.230	 -0.400
       0:04.896	 -0.785	 -0.400
       0:04.900	 -0.470	 -0.330
       0:04.904	  0.100	 -0.405
       0:04.908	 -0.210	 -0.465
       0:04.912	 -0.785	 -0.415
       0:04.916	 -0.470	 -0.370
       0:04.920	  0.055	 -0.415
       0:04.924	 -0.260	 -0.435
       0:04.928	 -0.800	 -0.400
       0:04.932	 -0.425	 -0.375
       0:04.936	  0.100	 -0.420
       0:04.940	 -0.245	 -0.470
       0:04.944	 -0.790	 -0.440
       0:04.948	 -0.475	 -0.385
       0:04.952	  0.075	 -0.450
       0:04.956	 -0.260	 -0.455
       0:04.960	 -0.815	 -0.420
       0:04.964	 -0.550	 -0.335
       0:04.968	  0.070	 -0.430
       0:04.972	 -0.080	 -0.475
       0:04.976	 -0.695	 -0.435
       0:04.980	 -0.620	 -0.365
       0:04.984	  0.045	 -0.375
       0:04.988	  0.000	 -0.370
       0:04.992	 -0.590	 -0.295
       0:04.996	 -0.605	 -0.225
       0:05.000	  0.005	 -0.210
       0:05.004	  0.125	 -0.260
       0:05.008	 -0.390	 -0.195
       0:05.012	 -0.530	 -0.145
       0:05.016	  0.055	 -0.190
       0:05.020	  0.255	 -0.355
       0:05.024	 -0.355	 -0.385
       0:05.028	 -0.640	 -0.380
       0:05.032	 -0.120	 -0.440
       0:05.036	  0.125	 -0.560
       0:05.040	 -0.435	 -0.535
       0:05.044	 -0.680	 -0.470
       0:05.048	 -0.105	 -0.445
       0:05.052	  0.115	 -0.520
       0:05.056	 -0.515	 -0.535
       0:05.060	 -0.805	 -0.455
       0:05.064	 -0.265	 -0.385
       0:05.068	 -0.030	 -0.460
       0:05.072	 -0.615	 -0.495
       0:05.076	 -0.885	 -0.460
       0:05.080	 -0.295	 -0.450
       0:05.084	  0.045	 -0.530
       0:05.088	 -0.460	 -0.520
       0:05.092	 -0.865	 -0.430
       0:05.096	 -0.375	 -0.440
       0:05.100	  0.095	 -0.500
       0:05.104	 -0.345	 -0.530
       0:05.108	 -0.845	 -0.485
       0:05.112	 -0.515	 -0.420
       0:05.116	  0.055	 -0.475
       0:05.120	 -0.245	 -0.500
       0:05.124	 -0.870	 -0.435
       0:05.128	 -0.750	 -0.270
       0:05.132	 -0.105	 -0.080
       0:05.136	 -0.070	  0.015
       0:05.140	 -0.420	  0.040
       0:05.144	 -0.025	  0.085
       0:05.148	  0.985	  0.290
       0:05.152	  1.325	  0.320
       0:05.156	  1.035	 -0.335
       0:05.160	  0.980	 -0.950
       0:05.164	  0.915	 -1.395
       0:05.168	  0.240	 -1.670
       0:05.172	 -0.840	 -2.040
       0:05.176	 -1.270	 -2.290
       0:05.180	 -0.735	 -2.395
       0:05.184	 -0.450	 -2.505
       0:05.188	 -0.960	 -2.245
       0:05.192	 -0.925	 -1.615
       0:05.196	 -0.075	 -1.145
       0:05.200	  0.090	 -0.795
       0:05.204	 -0.595	 -0.450
       0:05.208	 -0.750	 -0.235
       0:05.212	 -0.150	 -0.220
       0:05.216	  0.035	 -0.305
       0:05.220	 -0.545	 -0.305
       0:05.224	 -0.840	 -0.230
       0:05.228	 -0.270	 -0.250
       0:05.232	  0.070	 -0.320
       0:05.236	 -0.410	 -0.335
       0:05.240	 -0.805	 -0.215
       0:05.244	 -0.360	 -0.225
       0:05.248	  0.130	 -0.260
       0:05.252	 -0.225	 -0.305
       0:05.256	 -0.775	 -0.230
       0:05.260	 -0.475	 -0.170
       0:05.264	  0.090	 -0.245
       0:05.268	 -0.180	 -0.265
       0:05.272	 -0.775	 -0.210
       0:05.276	 -0.540	 -0.165
       0:05.280	  0.085	 -0.205
       0:05.284	 -0.045	 -0.230
       0:05.288	 -0.635	 -0.190
       0:05.292	 -0.545	 -0.155
       0:05.296	  0.040	 -0.155
       0:05.300	 -0.020	 -0.180
       0:05.304	 -0.660	 -0.170
       0:05.308	 -0.580	 -0.090
       0:05.312	  0.025	 -0.085
       0:05.316	  0.085	 -0.155
       0:05.320	 -0.530	 -0.115
       0:05.324	 -0.540	 -0.020
       0:05.328	  0.105	 -0.010
       0:05.332	  0.140	 -0.070
       0:05.336	 -0.470	 -0.025
       0:05.340	 -0.565	  0.055
       0:05.344	  0.075	  0.090
       0:05.348	  0.235	  0.055
       0:05.352	 -0.365	  0.060
       0:05.356	 -0.560	  0.165
       0:05.360	  0.045	  0.185
       0:05.364	  0.340	  0.145
       0:05.368	 -0.225	  0.160
       0:05.372	 -0.545	  0.245
       0:05.376	 -0.030	  0.275
       0:05.380	  0.340	  0.220
       0:05.384	 -0.100	  0.210
       0:05.388	 -0.530	  0.265
       0:05.392	 -0.105	  0.310
       0:05.396	  0.415	  0.235
       0:05.400	  0.035	  0.195
       0:05.404	 -0.520	  0.250
       0:05.408	 -0.240	  0.285
       0:05.412	  0.335	  0.195
       0:05.416	  0.070	  0.155
       0:05.420	 -0.545	  0.185
       0:05.424	 -0.365	  0.170
       0:05.428	  0.190	  0.115
       0:05.432	 -0.020	 -0.010
       0:05.436	 -0.635	 -0.010
       0:05.440	 -0.475	  0.000
       0:05.444	  0.100	 -0.015
       0:05.448	 -0.040	 -0.160
       0:05.452	 -0.700	 -0.130
       0:05.456	 -0.605	 -0.180
       0:05.460	 -0.005	 -0.240
       0:05.464	 -0.075	 -0.330
       0:05.468	 -0.690	 -0.290
       0:05.472	 -0.640	 -0.230
       0:05.476	 -0.025	 -0.285
       0:05.480	  0.020	 -0.355
       0:05.484	 -0.620	 -0.360
       0:05.488	 -0.695	 -0.275
       0:05.492	 -0.105	 -0.285
       0:05.496	  0.065	 -0.365
       0:05.500	 -0.505	 -0.375
       0:05.504	 -0.780	 -0.305
       0:05.508	 -0.245	 -0.300
       0:05.512	  0.125	 -0.385
       0:05.516	 -0.360	 -0.350
       0:05.520	 -0.825	 -0.330
       0:05.524	 -0.415	 -0.285
       0:05.528	  0.090	 -0.335
       0:05.532	 -0.220	 -0.360
       0:05.536	 -0.765	 -0.300
       0:05.540	 -0.495	 -0.240
       0:05.544	  0.070	 -0.305
       0:05.548	 -0.105	 -0.360
       0:05.552	 -0.705	 -0.295
       0:05.556	 -0.535	 -0.310
       0:05.560	  0.080	 -0.295
       0:05.564	 -0.060	 -0.355
       0:05.568	 -0.700	 -0.345
       0:05.572	 -0.605	 -0.270
       0:05.576	  0.035	 -0.310
       0:05.580	 -0.010	 -0.370
       0:05.584	 -0.665	 -0.340
       0:05.588	 -0.630	 -0.305
       0:05.592	 -0.005	 -0.300
       0:05.596	  0.020	 -0.365
       0:05.600	 -0.600	 -0.380
       0:05.604	 -0.755	 -0.305
       0:05.608	 -0.135	 -0.285
       0:05.612	  0.115	 -0.365
       0:05.616	 -0.430	 -0.425
       0:05.620	 -0.795	 -0.340
       0:05.624	 -0.335	 -0.295
       0:05.628	  0.165	 -0.370
       0:05.632	 -0.220	 -0.425
       0:05.636	 -0.825	 -0.355
       0:05.640	 -0.570	 -0.300
       0:05.644	  0.050	 -0.390
       0:05.648	 -0.065	 -0.410
       0:05.652	 -0.710	 -0.425
       0:05.656	 -0.655	 -0.350
       0:05.660	 -0.040	 -0.350
       0:05.664	  0.025	 -0.420
       0:05.668	 -0.610	 -0.430
       0:05.672	 -0.775	 -0.370
       0:05.676	 -0.175	 -0.370
       0:05.680	  0.075	 -0.465
       0:05.684	 -0.510	 -0.430
       0:05.688	 -0.795	 -0.385
       0:05.692	 -0.270	 -0.365
       0:05.696	  0.085	 -0.440
       0:05.700	 -0.390	 -0.465
       0:05.704	 -0.820	 -0.390
       0:05.708	 -0.415	 -0.340
       0:05.712	  0.115	 -0.400
       0:05.716	 -0.260	 -0.430
       0:05.720	 -0.810	 -0.385
       0:05.724	 -0.520	 -0.320
       0:05.728	  0.065	 -0.365
       0:05.732	 -0.085	 -0.425
       0:05.736	 -0.720	 -0.385
       0:05.740	 -0.675	 -0.305
       0:05.744	  0.000	 -0.345
       0:05.748	  0.100	 -0.410
       0:05.752	 -0.500	 -0.345
       0:05.756	 -0.680	 -0.205
       0:05.760	 -0.140	 -0.165
       0:05.764	  0.230	 -0.220
       0:05.768	 -0.255	 -0.220
       0:05.772	 -0.610	 -0.135
       0:05.776	 -0.200	 -0.095
       0:05.780	  0.280	 -0.235
       0:05.784	 -0.060	 -0.300
       0:05.788	 -0.660	 -0.325
       0:05.792	 -0.480	 -0.270
       0:05.796	  0.100	 -0.435
       0:05.800	 -0.060	 -0.550
       0:05.804	 -0.720	 -0.510
       0:05.808	 -0.625	 -0.415
       0:05.812	 -0.015	 -0.425
       0:05.816	 -0.030	 -0.485
       0:05.820	 -0.720	 -0.465
       0:05.824	 -0.715	 -0.435
       0:05.828	 -0.130	 -0.395
       0:05.832	 -0.090	 -0.430
       0:05.836	 -0.745	 -0.475
       0:05.840	 -0.800	 -0.415
       0:05.844	 -0.160	 -0.455
       0:05.848	 -0.065	 -0.505
       0:05.852	 -0.705	 -0.495
       0:05.856	 -0.835	 -0.445
       0:05.860	 -0.205	 -0.480
       0:05.864	 -0.030	 -0.520
       0:05.868	 -0.615	 -0.515
       0:05.872	 -0.850	 -0.420
       0:05.876	 -0.255	 -0.435
       0:05.880	  0.020	 -0.500
       0:05.884	 -0.515	 -0.515
       0:05.888	 -0.905	 -0.430
       0:05.892	 -0.475	 -0.320
       0:05.896	 -0.100	 -0.175
       0:05.900	 -0.435	  0.010
       0:05.904	 -0.665	  0.095
       0:05.908	  0.050	  0.090
       0:05.912	  0.900	  0.160
       0:05.916	  0.915	  0.400
       0:05.920	  0.750	 -0.080
       0:05.924	  1.155	 -0.775
       0:05.928	  1.280	 -1.385
       0:05.932	  0.255	 -1.705
       0:05.936	 -0.845	 -1.965
       0:05.940	 -1.025	 -2.215
       0:05.944	 -0.675	 -2.340
       0:05.948	 -0.705	 -2.635
       0:05.952	 -1.165	 -2.535
       0:05.956	 -0.885	 -1.880
       0:05.960	 -0.070	 -1.290
       0:05.964	 -0.125	 -0.940
       0:05.968	 -0.770	 -0.480
       0:05.972	 -0.665	 -0.200
       0:05.976	 -0.075	 -0.210
       0:05.980	 -0.170	 -0.300
       0:05.984	 -0.770	 -0.225
       0:05.988	 -0.680	 -0.155
       0:05.992	 -0.075	 -0.210
       0:05.996	 -0.150	 -0.270
       0:06.000	 -0.755	 -0.220
       0:06.004	 -0.700	 -0.180
       0:06.008	 -0.080	 -0.205
       0:06.012	 -0.045	 -0.240
       0:06.016	 -0.665	 -0.225
       0:06.020	 -0.730	 -0.140
       0:06.024	 -0.110	 -0.160
       0:06.028	  0.020	 -0.250
       0:06.032	 -0.620	 -0.230
       0:06.036	 -0.815	 -0.150
       0:06.040	 -0.245	 -0.130
       0:06.044	  0.040	 -0.215
       0:06.048	 -0.530	 -0.190
       0:06.052	 -0.800	 -0.130
       0:06.056	 -0.255	 -0.080
       0:06.060	  0.120	 -0.175
