   Elapsed time	     V5	     V2
       0:07.114	 -0.270	  1.435
       0:07.117	 -0.250	  1.480
       0:07.119	 -0.265	  1.510
       0:07.122	 -0.265	  1.545
       0:07.125	 -0.280	  1.575
       0:07.128	 -0.275	  1.635
       0:07.131	 -0.275	  1.685
       0:07.133	 -0.255	  1.725
       0:07.136	 -0.255	  1.770
       0:07.139	 -0.255	  1.790
       0:07.142	 -0.260	  1.830
       0:07.144	 -0.265	  1.865
       0:07.147	 -0.245	  1.910
       0:07.150	 -0.240	  1.940
       0:07.153	 -0.235	  1.975
       0:07.156	 -0.240	  2.005
       0:07.158	 -0.240	  2.015
       0:07.161	 -0.240	  2.065
       0:07.164	 -0.225	  2.080
       0:07.167	 -0.215	  2.105
       0:07.169	 -0.210	  2.115
       0:07.172	 -0.220	  2.115
       0:07.175	 -0.205	  2.125
       0:07.178	 -0.195	  2.145
       0:07.181	 -0.190	  2.160
       0:07.183	 -0.170	  2.170
       0:07.186	 -0.175	  2.155
       0:07.189	 -0.175	  2.130
       0:07.192	 -0.180	  2.100
       0:07.194	 -0.180	  2.085
       0:07.197	 -0.145	  2.065
       0:07.200	 -0.140	  2.040
       0:07.203	 -0.145	  2.010
       0:07.206	 -0.140	  1.950
       0:07.208	 -0.140	  1.900
       0:07.211	 -0.145	  1.865
       0:07.214	 -0.120	  1.820
       0:07.217	 -0.105	  1.770
       0:07.219	 -0.110	  1.710
       0:07.222	 -0.120	  1.635
       0:07.225	 -0.125	  1.575
       0:07.228	 -0.120	  1.525
       0:07.231	 -0.115	  1.470
       0:07.233	 -0.095	  1.400
       0:07.236	 -0.095	  1.340
       0:07.239	 -0.110	  1.250
       0:07.242	 -0.110	  1.195
       0:07.244	 -0.115	  1.125
       0:07.247	 -0.110	  1.065
       0:07.250	 -0.105	  1.010
       0:07.253	 -0.105	  0.935
       0:07.256	 -0.110	  0.865
       0:07.258	 -0.115	  0.805
       0:07.261	 -0.135	  0.755
       0:07.264	 -0.125	  0.700
       0:07.267	 -0.120	  0.650
       0:07.269	 -0.130	  0.585
       0:07.272	 -0.130	  0.540
       0:07.275	 -0.145	  0.470
       0:07.278	 -0.150	  0.435
       0:07.281	 -0.150	  0.420
       0:07.283	 -0.145	  0.380
       0:07.286	 -0.150	  0.350
       0:07.289	 -0.155	  0.305
       0:07.292	 -0.175	  0.265
       0:07.294	 -0.185	  0.240
       0:07.297	 -0.170	  0.230
       0:07.300	 -0.180	  0.205
       0:07.303	 -0.170	  0.190
       0:07.306	 -0.190	  0.160
       0:07.308	 -0.190	  0.135
       0:07.311	 -0.195	  0.115
       0:07.314	 -0.190	  0.125
       0:07.317	 -0.180	  0.095
       0:07.319	 -0.190	  0.075
       0:07.322	 -0.200	  0.055
       0:07.325	 -0.210	  0.045
       0:07.328	 -0.200	  0.045
       0:07.331	 -0.195	  0.045
       0:07.333	 -0.185	  0.025
       0:07.336	 -0.180	  0.035
       0:07.339	 -0.200	  0.010
       0:07.342	 -0.210	  0.005
       0:07.344	 -0.205	  0.005
       0:07.347	 -0.200	  0.005
       0:07.350	 -0.185	  0.010
       0:07.353	 -0.200	 -0.010
       0:07.356	 -0.205	 -0.020
       0:07.358	 -0.210	 -0.015
       0:07.361	 -0.205	 -0.010
       0:07.364	 -0.205	  0.000
       0:07.367	 -0.200	  0.010
       0:07.369	 -0.200	 -0.010
       0:07.372	 -0.210	 -0.015
       0:07.375	 -0.210	 -0.020
       0:07.378	 -0.220	 -0.015
       0:07.381	 -0.200	  0.005
       0:07.383	 -0.190	  0.000
       0:07.386	 -0.200	 -0.005
       0:07.389	 -0.210	  0.000
       0:07.392	 -0.215	 -0.015
       0:07.394	 -0.225	  0.000
       0:07.397	 -0.215	  0.005
       0:07.400	 -0.195	  0.000
       0:07.403	 -0.205	  0.000
       0:07.406	 -0.210	  0.000
       0:07.408	 -0.220	 -0.010
       0:07.411	 -0.220	  0.005
       0:07.414	 -0.210	  0.015
       0:07.417	 -0.200	  0.010
       0:07.419	 -0.210	  0.020
       0:07.422	 -0.215	  0.000
       0:07.425	 -0.215	 -0.005
       0:07.428	 -0.220	  0.000
       0:07.431	 -0.215	  0.005
       0:07.433	 -0.210	  0.010
       0:07.436	 -0.210	  0.000
       0:07.439	 -0.215	 -0.005
       0:07.442	 -0.215	 -0.020
       0:07.444	 -0.230	 -0.010
       0:07.447	 -0.215	 -0.005
       0:07.450	 -0.210	 -0.010
       0:07.453	 -0.215	 -0.025
       0:07.456	 -0.225	 -0.020
       0:07.458	 -0.230	 -0.040
       0:07.461	 -0.245	 -0.030
       0:07.464	 -0.225	 -0.030
       0:07.467	 -0.220	 -0.035
       0:07.469	 -0.225	 -0.040
       0:07.472	 -0.230	 -0.055
       0:07.475	 -0.245	 -0.065
       0:07.478	 -0.240	 -0.065
       0:07.481	 -0.235	 -0.060
       0:07.483	 -0.225	 -0.060
       0:07.486	 -0.225	 -0.070
       0:07.489	 -0.235	 -0.080
       0:07.492	 -0.240	 -0.090
       0:07.494	 -0.250	 -0.080
       0:07.497	 -0.240	 -0.085
       0:07.500	 -0.225	 -0.085
       0:07.503	 -0.230	 -0.090
       0:07.506	 -0.240	 -0.105
       0:07.508	 -0.245	 -0.115
       0:07.511	 -0.255	 -0.110
       0:07.514	 -0.250	 -0.095
       0:07.517	 -0.245	 -0.100
       0:07.519	 -0.245	 -0.105
       0:07.522	 -0.250	 -0.120
       0:07.525	 -0.260	 -0.130
       0:07.528	 -0.265	 -0.125
       0:07.531	 -0.245	 -0.105
       0:07.533	 -0.245	 -0.110
       0:07.536	 -0.245	 -0.110
       0:07.539	 -0.245	 -0.130
       0:07.542	 -0.270	 -0.125
       0:07.544	 -0.265	 -0.105
       0:07.547	 -0.260	 -0.105
       0:07.550	 -0.255	 -0.100
       0:07.553	 -0.260	 -0.100
       0:07.556	 -0.265	 -0.105
       0:07.558	 -0.275	 -0.105
       0:07.561	 -0.285	 -0.105
       0:07.564	 -0.270	 -0.090
       0:07.567	 -0.270	 -0.090
       0:07.569	 -0.270	 -0.095
       0:07.572	 -0.275	 -0.105
       0:07.575	 -0.270	 -0.120
       0:07.578	 -0.260	 -0.120
       0:07.581	 -0.245	 -0.125
       0:07.583	 -0.230	 -0.120
       0:07.586	 -0.230	 -0.140
       0:07.589	 -0.245	 -0.160
       0:07.592	 -0.245	 -0.170
       0:07.594	 -0.240	 -0.175
       0:07.597	 -0.225	 -0.180
       0:07.600	 -0.210	 -0.190
       0:07.603	 -0.215	 -0.210
       0:07.606	 -0.220	 -0.225
       0:07.608	 -0.215	 -0.240
       0:07.611	 -0.235	 -0.225
       0:07.614	 -0.235	 -0.235
       0:07.617	 -0.225	 -0.240
       0:07.619	 -0.230	 -0.245
       0:07.622	 -0.225	 -0.260
       0:07.625	 -0.235	 -0.265
       0:07.628	 -0.240	 -0.240
       0:07.631	 -0.230	 -0.220
       0:07.633	 -0.220	 -0.215
       0:07.636	 -0.240	 -0.220
       0:07.639	 -0.240	 -0.225
       0:07.642	 -0.260	 -0.235
       0:07.644	 -0.260	 -0.220
       0:07.647	 -0.270	 -0.215
       0:07.650	 -0.265	 -0.215
       0:07.653	 -0.255	 -0.200
       0:07.656	 -0.265	 -0.225
       0:07.658	 -0.280	 -0.225
       0:07.661	 -0.265	 -0.215
       0:07.664	 -0.260	 -0.210
       0:07.667	 -0.260	 -0.210
       0:07.669	 -0.260	 -0.200
       0:07.672	 -0.265	 -0.215
       0:07.675	 -0.270	 -0.225
       0:07.678	 -0.275	 -0.200
       0:07.681	 -0.255	 -0.190
       0:07.683	 -0.250	 -0.190
       0:07.686	 -0.260	 -0.190
       0:07.689	 -0.265	 -0.195
       0:07.692	 -0.270	 -0.185
       0:07.694	 -0.265	 -0.170
       0:07.697	 -0.255	 -0.130
       0:07.700	 -0.235	 -0.080
       0:07.703	 -0.225	  0.020
       0:07.706	 -0.220	  0.220
       0:07.708	 -0.195	  0.550
       0:07.711	 -0.160	  0.825
       0:07.714	 -0.105	  0.760
       0:07.717	  0.010	  0.495
       0:07.719	  0.310	  0.310
       0:07.722	  0.680	  0.225
       0:07.725	  0.825	  0.195
       0:07.728	  0.595	  0.155
       0:07.731	  0.295	  0.135
       0:07.733	  0.145	  0.100
       0:07.736	  0.130	  0.055
       0:07.739	  0.160	 -0.010
       0:07.742	  0.185	 -0.125
       0:07.744	  0.190	 -0.250
       0:07.747	  0.210	 -0.425
       0:07.750	  0.245	 -0.620
       0:07.753	  0.260	 -0.855
       0:07.756	  0.265	 -1.090
       0:07.758	  0.290	 -1.340
       0:07.761	  0.300	 -1.580
       0:07.764	  0.305	 -1.785
       0:07.767	  0.320	 -1.975
       0:07.769	  0.330	 -2.100
       0:07.772	  0.345	 -2.220
       0:07.775	  0.365	 -2.325
       0:07.778	  0.380	 -2.400
       0:07.781	  0.380	 -2.505
       0:07.783	  0.410	 -2.610
       0:07.786	  0.395	 -2.735
       0:07.789	  0.395	 -2.860
       0:07.792	  0.345	 -2.925
       0:07.794	  0.285	 -2.970
       0:07.797	  0.230	 -3.015
       0:07.800	  0.195	 -3.055
       0:07.803	  0.155	 -3.105
       0:07.806	  0.065	 -3.145
       0:07.808	 -0.035	 -3.165
       0:07.811	 -0.130	 -3.165
       0:07.814	 -0.160	 -3.165
       0:07.817	 -0.140	 -3.160
       0:07.819	 -0.130	 -3.170
       0:07.822	 -0.135	 -3.170
       0:07.825	 -0.140	 -3.145
       0:07.828	 -0.165	 -3.095
       0:07.831	 -0.170	 -3.035
       0:07.833	 -0.190	 -2.960
       0:07.836	 -0.225	 -2.870
       0:07.839	 -0.285	 -2.770
       0:07.842	 -0.320	 -2.640
       0:07.844	 -0.345	 -2.490
       0:07.847	 -0.345	 -2.335
       0:07.850	 -0.350	 -2.130
       0:07.853	 -0.360	 -1.900
       0:07.856	 -0.370	 -1.670
       0:07.858	 -0.400	 -1.405
       0:07.861	 -0.405	 -1.165
       0:07.864	 -0.395	 -0.915
       0:07.867	 -0.370	 -0.675
       0:07.869	 -0.370	 -0.430
       0:07.872	 -0.365	 -0.225
       0:07.875	 -0.395	 -0.040
       0:07.878	 -0.390	  0.140
       0:07.881	 -0.410	  0.320
       0:07.883	 -0.395	  0.480
       0:07.886	 -0.400	  0.630
       0:07.889	 -0.390	  0.725
       0:07.892	 -0.400	  0.790
       0:07.894	 -0.395	  0.870
       0:07.897	 -0.380	  0.935
       0:07.900	 -0.350	  0.990
       0:07.903	 -0.335	  1.035
       0:07.906	 -0.335	  1.075
       0:07.908	 -0.340	  1.115
       0:07.911	 -0.350	  1.165
       0:07.914	 -0.335	  1.220
       0:07.917	 -0.315	  1.270
       0:07.919	 -0.325	  1.310
       0:07.922	 -0.330	  1.345
       0:07.925	 -0.330	  1.385
       0:07.928	 -0.325	  1.450
       0:07.931	 -0.315	  1.500
       0:07.933	 -0.305	  1.545
       0:07.936	 -0.315	  1.580
       0:07.939	 -0.320	  1.630
       0:07.942	 -0.320	  1.660
       0:07.944	 -0.320	  1.720
       0:07.947	 -0.320	  1.770
       0:07.950	 -0.305	  1.815
       0:07.953	 -0.295	  1.850
       0:07.956	 -0.315	  1.885
       0:07.958	 -0.300	  1.915
       0:07.961	 -0.295	  1.970
       0:07.964	 -0.280	  2.010
       0:07.967	 -0.275	  2.045
       0:07.969	 -0.290	  2.070
       0:07.972	 -0.285	  2.090
       0:07.975	 -0.300	  2.125
       0:07.978	 -0.295	  2.160
       0:07.981	 -0.280	  2.180
       0:07.983	 -0.260	  2.200
       0:07.986	 -0.270	  2.200
       0:07.989	 -0.270	  2.195
       0:07.992	 -0.270	  2.205
       0:07.994	 -0.255	  2.210
       0:07.997	 -0.240	  2.210
       0:08.000	 -0.225	  2.205
       0:08.003	 -0.215	  2.190
       0:08.006	 -0.205	  2.155
       0:08.008	 -0.210	  2.120
       0:08.011	 -0.210	  2.095
       0:08.014	 -0.200	  2.070
       0:08.017	 -0.180	  2.025
       0:08.019	 -0.165	  1.985
       0:08.022	 -0.165	  1.930
       0:08.025	 -0.165	  1.880
       0:08.028	 -0.170	  1.815
       0:08.031	 -0.150	  1.760
       0:08.033	 -0.145	  1.715
       0:08.036	 -0.145	  1.640
       0:08.039	 -0.135	  1.570
       0:08.042	 -0.145	  1.490
       0:08.044	 -0.140	  1.420
       0:08.047	 -0.145	  1.360
       0:08.050	 -0.125	  1.285
       0:08.053	 -0.130	  1.200
       0:08.056	 -0.140	  1.110
       0:08.058	 -0.145	  1.040
       0:08.061	 -0.160	  0.960
       0:08.064	 -0.150	  0.900
       0:08.067	 -0.135	  0.840
       0:08.069	 -0.145	  0.770
       0:08.072	 -0.155	  0.695
       0:08.075	 -0.165	  0.625
       0:08.078	 -0.170	  0.580
       0:08.081	 -0.160	  0.520
       0:08.083	 -0.145	  0.475
       0:08.086	 -0.160	  0.425
       0:08.089	 -0.170	  0.375
       0:08.092	 -0.190	  0.315
       0:08.094	 -0.190	  0.285
       0:08.097	 -0.180	  0.255
       0:08.100	 -0.175	  0.220
       0:08.103	 -0.170	  0.185
       0:08.106	 -0.195	  0.155
       0:08.108	 -0.210	  0.110
       0:08.111	 -0.215	  0.110
       0:08.114	 -0.210	  0.095
       0:08.117	 -0.210	  0.070
       0:08.119	 -0.220	  0.055
       0:08.122	 -0.225	  0.025
       0:08.125	 -0.235	  0.000
       0:08.128	 -0.235	  0.000
       0:08.131	 -0.220	  0.000
       0:08.133	 -0.215	 -0.005
       0:08.136	 -0.220	 -0.015
       0:08.139	 -0.215	 -0.030
       0:08.142	 -0.220	 -0.040
       0:08.144	 -0.230	 -0.055
       0:08.147	 -0.235	 -0.035
       0:08.150	 -0.220	 -0.040
       0:08.153	 -0.230	 -0.040
       0:08.156	 -0.245	 -0.065
       0:08.158	 -0.250	 -0.070
       0:08.161	 -0.240	 -0.075
       0:08.164	 -0.230	 -0.065
       0:08.167	 -0.215	 -0.060
       0:08.169	 -0.230	 -0.075
       0:08.172	 -0.240	 -0.075
       0:08.175	 -0.245	 -0.080
       0:08.178	 -0.245	 -0.075
       0:08.181	 -0.230	 -0.065
       0:08.183	 -0.225	 -0.060
       0:08.186	 -0.225	 -0.055
       0:08.189	 -0.235	 -0.070
       0:08.192	 -0.230	 -0.085
       0:08.194	 -0.230	 -0.070
       0:08.197	 -0.225	 -0.060
       0:08.200	 -0.205	 -0.055
       0:08.203	 -0.215	 -0.040
       0:08.206	 -0.225	 -0.060
       0:08.208	 -0.240	 -0.065
       0:08.211	 -0.250	 -0.070
       0:08.214	 -0.235	 -0.040
       0:08.217	 -0.215	 -0.035
       0:08.219	 -0.225	 -0.050
       0:08.222	 -0.225	 -0.040
       0:08.225	 -0.235	 -0.055
       0:08.228	 -0.250	 -0.035
       0:08.231	 -0.245	 -0.020
       0:08.233	 -0.235	 -0.035
       0:08.236	 -0.240	 -0.025
       0:08.239	 -0.260	 -0.035
       0:08.242	 -0.255	 -0.035
       0:08.244	 -0.250	 -0.035
       0:08.247	 -0.240	 -0.025
       0:08.250	 -0.225	 -0.030
       0:08.253	 -0.240	 -0.040
       0:08.256	 -0.250	 -0.050
       0:08.258	 -0.260	 -0.055
       0:08.261	 -0.265	 -0.060
       0:08.264	 -0.255	 -0.040
       0:08.267	 -0.235	 -0.050
       0:08.269	 -0.260	 -0.050
       0:08.272	 -0.260	 -0.065
       0:08.275	 -0.260	 -0.075
       0:08.278	 -0.275	 -0.075
       0:08.281	 -0.255	 -0.070
       0:08.283	 -0.255	 -0.065
       0:08.286	 -0.270	 -0.090
       0:08.289	 -0.280	 -0.105
       0:08.292	 -0.275	 -0.110
       0:08.294	 -0.285	 -0.120
       0:08.297	 -0.280	 -0.105
       0:08.300	 -0.265	 -0.110
       0:08.303	 -0.285	 -0.115
       0:08.306	 -0.285	 -0.125
       0:08.308	 -0.295	 -0.130
       0:08.311	 -0.290	 -0.130
       0:08.314	 -0.285	 -0.120
       0:08.317	 -0.265	 -0.125
       0:08.319	 -0.275	 -0.135
       0:08.322	 -0.275	 -0.150
       0:08.325	 -0.290	 -0.165
       0:08.328	 -0.280	 -0.160
       0:08.331	 -0.270	 -0.150
       0:08.333	 -0.270	 -0.155
       0:08.336	 -0.275	 -0.175
       0:08.339	 -0.280	 -0.190
       0:08.342	 -0.300	 -0.190
       0:08.344	 -0.305	 -0.180
       0:08.347	 -0.305	 -0.175
       0:08.350	 -0.280	 -0.180
       0:08.353	 -0.295	 -0.200
       0:08.356	 -0.285	 -0.210
       0:08.358	 -0.300	 -0.205
       0:08.361	 -0.315	 -0.210
       0:08.364	 -0.310	 -0.200
       0:08.367	 -0.300	 -0.205
       0:08.369	 -0.290	 -0.200
       0:08.372	 -0.295	 -0.215
       0:08.375	 -0.305	 -0.225
       0:08.378	 -0.310	 -0.220
       0:08.381	 -0.300	 -0.205
       0:08.383	 -0.295	 -0.205
       0:08.386	 -0.290	 -0.210
       0:08.389	 -0.285	 -0.230
       0:08.392	 -0.300	 -0.225
       0:08.394	 -0.295	 -0.230
       0:08.397	 -0.300	 -0.215
       0:08.400	 -0.280	 -0.220
       0:08.403	 -0.280	 -0.215
       0:08.406	 -0.285	 -0.215
       0:08.408	 -0.310	 -0.240
       0:08.411	 -0.300	 -0.230
       0:08.414	 -0.295	 -0.220
       0:08.417	 -0.265	 -0.210
       0:08.419	 -0.270	 -0.230
       0:08.422	 -0.290	 -0.235
       0:08.425	 -0.300	 -0.240
       0:08.428	 -0.285	 -0.235
       0:08.431	 -0.275	 -0.230
       0:08.433	 -0.280	 -0.225
       0:08.436	 -0.280	 -0.235
       0:08.439	 -0.305	 -0.230
       0:08.442	 -0.300	 -0.235
       0:08.444	 -0.300	 -0.220
       0:08.447	 -0.305	 -0.210
       0:08.450	 -0.285	 -0.200
       0:08.453	 -0.285	 -0.195
       0:08.456	 -0.315	 -0.195
       0:08.458	 -0.320	 -0.200
       0:08.461	 -0.315	 -0.185
       0:08.464	 -0.305	 -0.170
       0:08.467	 -0.285	 -0.170
       0:08.469	 -0.290	 -0.170
       0:08.472	 -0.295	 -0.190
       0:08.475	 -0.290	 -0.190
       0:08.478	 -0.310	 -0.180
       0:08.481	 -0.285	 -0.175
       0:08.483	 -0.270	 -0.165
       0:08.486	 -0.270	 -0.175
       0:08.489	 -0.260	 -0.195
       0:08.492	 -0.255	 -0.210
       0:08.494	 -0.255	 -0.215
       0:08.497	 -0.235	 -0.195
       0:08.500	 -0.225	 -0.200
       0:08.503	 -0.225	 -0.185
       0:08.506	 -0.220	 -0.185
       0:08.508	 -0.215	 -0.135
       0:08.511	 -0.190	  0.000
       0:08.514	 -0.170	  0.270
       0:08.517	 -0.145	  0.665
       0:08.519	 -0.125	  0.835
       0:08.522	 -0.085	  0.660
       0:08.525	  0.060	  0.370
       0:08.528	  0.410	  0.215
       0:08.531	  0.810	  0.155
       0:08.533	  0.940	  0.090
       0:08.536	  0.700	  0.020
       0:08.539	  0.365	 -0.070
       0:08.542	  0.180	 -0.135
       0:08.544	  0.140	 -0.250
       0:08.547	  0.170	 -0.385
       0:08.550	  0.180	 -0.540
       0:08.553	  0.155	 -0.705
       0:08.556	  0.120	 -0.905
       0:08.558	  0.115	 -1.130
       0:08.561	  0.110	 -1.320
       0:08.564	  0.145	 -1.465
       0:08.567	  0.160	 -1.585
       0:08.569	  0.150	 -1.705
       0:08.572	  0.130	 -1.865
       0:08.575	  0.125	 -2.045
       0:08.578	  0.120	 -2.225
       0:08.581	  0.145	 -2.400
       0:08.583	  0.165	 -2.560
       0:08.586	  0.150	 -2.680
       0:08.589	  0.140	 -2.790
       0:08.592	  0.100	 -2.905
       0:08.594	  0.080	 -2.980
       0:08.597	  0.080	 -3.055
       0:08.600	  0.055	 -3.105
       0:08.603	  0.000	 -3.140
       0:08.606	 -0.015	 -3.185
       0:08.608	 -0.080	 -3.220
       0:08.611	 -0.135	 -3.240
       0:08.614	 -0.210	 -3.235
       0:08.617	 -0.280	 -3.255
       0:08.619	 -0.370	 -3.255
       0:08.622	 -0.415	 -3.265
       0:08.625	 -0.410	 -3.265
       0:08.628	 -0.385	 -3.250
       0:08.631	 -0.350	 -3.205
       0:08.633	 -0.330	 -3.150
       0:08.636	 -0.345	 -3.080
       0:08.639	 -0.370	 -2.985
       0:08.642	 -0.405	 -2.860
       0:08.644	 -0.420	 -2.700
       0:08.647	 -0.425	 -2.545
       0:08.650	 -0.410	 -2.330
       0:08.653	 -0.395	 -2.120
       0:08.656	 -0.355	 -1.910
       0:08.658	 -0.340	 -1.680
       0:08.661	 -0.315	 -1.430
       0:08.664	 -0.280	 -1.180
       0:08.667	 -0.275	 -0.955
       0:08.669	 -0.305	 -0.755
       0:08.672	 -0.320	 -0.560
       0:08.675	 -0.340	 -0.360
       0:08.678	 -0.350	 -0.160
       0:08.681	 -0.345	  0.020
       0:08.683	 -0.320	  0.180
       0:08.686	 -0.330	  0.325
       0:08.689	 -0.320	  0.430
       0:08.692	 -0.320	  0.545
       0:08.694	 -0.310	  0.620
       0:08.697	 -0.285	  0.700
       0:08.700	 -0.275	  0.745
       0:08.703	 -0.265	  0.795
       0:08.706	 -0.275	  0.820
       0:08.708	 -0.265	  0.865
       0:08.711	 -0.260	  0.925
       0:08.714	 -0.255	  0.965
       0:08.717	 -0.240	  0.995
       0:08.719	 -0.245	  1.030
       0:08.722	 -0.250	  1.055
       0:08.725	 -0.235	  1.080
       0:08.728	 -0.245	  1.125
       0:08.731	 -0.230	  1.170
       0:08.733	 -0.210	  1.215
       0:08.736	 -0.205	  1.245
       0:08.739	 -0.215	  1.275
       0:08.742	 -0.220	  1.300
       0:08.744	 -0.215	  1.360
       0:08.747	 -0.210	  1.400
       0:08.750	 -0.210	  1.435
       0:08.753	 -0.200	  1.475
       0:08.756	 -0.200	  1.500
       0:08.758	 -0.205	  1.530
       0:08.761	 -0.200	  1.585
       0:08.764	 -0.205	  1.640
       0:08.767	 -0.185	  1.675
       0:08.769	 -0.175	  1.690
       0:08.772	 -0.170	  1.720
       0:08.775	 -0.160	  1.745
       0:08.778	 -0.160	  1.785
       0:08.781	 -0.135	  1.815
       0:08.783	 -0.120	  1.845
       0:08.786	 -0.125	  1.870
       0:08.789	 -0.140	  1.880
       0:08.792	 -0.140	  1.885
       0:08.794	 -0.130	  1.915
       0:08.797	 -0.110	  1.935
       0:08.800	 -0.110	  1.955
       0:08.803	 -0.105	  1.950
       0:08.806	 -0.100	  1.940
       0:08.808	 -0.100	  1.950
       0:08.811	 -0.105	  1.945
       0:08.814	 -0.090	  1.955
       0:08.817	 -0.065	  1.930
       0:08.819	 -0.075	  1.915
       0:08.822	 -0.060	  1.880
       0:08.825	 -0.065	  1.850
       0:08.828	 -0.070	  1.825
       0:08.831	 -0.050	  1.790
       0:08.833	 -0.040	  1.745
       0:08.836	 -0.050	  1.700
       0:08.839	 -0.040	  1.645
       0:08.842	 -0.050	  1.595
       0:08.844	 -0.050	  1.545
       0:08.847	 -0.035	  1.495
       0:08.850	 -0.030	  1.445
       0:08.853	 -0.035	  1.365
       0:08.856	 -0.060	  1.305
       0:08.858	 -0.065	  1.220
       0:08.861	 -0.065	  1.160
       0:08.864	 -0.060	  1.100
       0:08.867	 -0.040	  1.040
       0:08.869	 -0.060	  0.960
       0:08.872	 -0.070	  0.880
       0:08.875	 -0.075	  0.810
       0:08.878	 -0.100	  0.750
       0:08.881	 -0.100	  0.710
       0:08.883	 -0.100	  0.655
       0:08.886	 -0.115	  0.580
       0:08.889	 -0.120	  0.530
       0:08.892	 -0.135	  0.460
       0:08.894	 -0.145	  0.420
       0:08.897	 -0.135	  0.375
       0:08.900	 -0.135	  0.325
       0:08.903	 -0.145	  0.295
       0:08.906	 -0.160	  0.250
       0:08.908	 -0.165	  0.205
       0:08.911	 -0.165	  0.195
       0:08.914	 -0.165	  0.165
       0:08.917	 -0.170	  0.145
       0:08.919	 -0.160	  0.115
       0:08.922	 -0.195	  0.090
       0:08.925	 -0.180	  0.065
       0:08.928	 -0.200	  0.065
       0:08.931	 -0.195	  0.055
       0:08.933	 -0.190	  0.035
       0:08.936	 -0.200	  0.000
       0:08.939	 -0.215	  0.000
       0:08.942	 -0.220	 -0.015
       0:08.944	 -0.225	 -0.025
       0:08.947	 -0.220	 -0.025
       0:08.950	 -0.205	 -0.025
       0:08.953	 -0.205	 -0.030
       0:08.956	 -0.205	 -0.055
       0:08.958	 -0.220	 -0.065
       0:08.961	 -0.220	 -0.070
       0:08.964	 -0.220	 -0.045
       0:08.967	 -0.200	 -0.060
       0:08.969	 -0.210	 -0.065
       0:08.972	 -0.215	 -0.075
       0:08.975	 -0.220	 -0.075
       0:08.978	 -0.220	 -0.070
       0:08.981	 -0.220	 -0.050
       0:08.983	 -0.210	 -0.055
       0:08.986	 -0.210	 -0.060
       0:08.989	 -0.230	 -0.060
       0:08.992	 -0.235	 -0.080
       0:08.994	 -0.235	 -0.055
       0:08.997	 -0.225	 -0.055
       0:09.000	 -0.220	 -0.055
       0:09.003	 -0.220	 -0.050
       0:09.006	 -0.225	 -0.060
       0:09.008	 -0.245	 -0.050
       0:09.011	 -0.245	 -0.050
       0:09.014	 -0.235	 -0.040
       0:09.017	 -0.235	 -0.045
       0:09.019	 -0.220	 -0.030
       0:09.022	 -0.225	 -0.055
       0:09.025	 -0.220	 -0.055
       0:09.028	 -0.235	 -0.045
       0:09.031	 -0.225	 -0.025
       0:09.033	 -0.220	 -0.025
       0:09.036	 -0.245	 -0.035
       0:09.039	 -0.240	 -0.040
       0:09.042	 -0.255	 -0.055
       0:09.044	 -0.260	 -0.055
       0:09.047	 -0.250	 -0.035
       0:09.050	 -0.230	 -0.030
       0:09.053	 -0.225	 -0.040
       0:09.056	 -0.250	 -0.045
       0:09.058	 -0.255	 -0.055
       0:09.061	 -0.245	 -0.050
       0:09.064	 -0.230	 -0.040
       0:09.067	 -0.225	 -0.035
       0:09.069	 -0.235	 -0.045
       0:09.072	 -0.245	 -0.055
       0:09.075	 -0.250	 -0.070
       0:09.078	 -0.255	 -0.060
       0:09.081	 -0.260	 -0.055
       0:09.083	 -0.245	 -0.055
       0:09.086	 -0.250	 -0.070
       0:09.089	 -0.260	 -0.090
       0:09.092	 -0.290	 -0.090
       0:09.094	 -0.285	 -0.085
       0:09.097	 -0.275	 -0.075
       0:09.100	 -0.265	 -0.080
       0:09.103	 -0.275	 -0.090
       0:09.106	 -0.280	 -0.100
       0:09.108	 -0.285	 -0.110
       0:09.111	 -0.285	 -0.110
       0:09.114	 -0.280	 -0.105
       0:09.117	 -0.265	 -0.110
       0:09.119	 -0.270	 -0.120
       0:09.122	 -0.280	 -0.135
       0:09.125	 -0.300	 -0.140
       0:09.128	 -0.305	 -0.135
       0:09.131	 -0.300	 -0.125
       0:09.133	 -0.295	 -0.140
       0:09.136	 -0.285	 -0.145
       0:09.139	 -0.285	 -0.155
       0:09.142	 -0.290	 -0.170
       0:09.144	 -0.295	 -0.155
       0:09.147	 -0.300	 -0.160
       0:09.150	 -0.290	 -0.155
       0:09.153	 -0.295	 -0.160
       0:09.156	 -0.310	 -0.175
       0:09.158	 -0.305	 -0.170
       0:09.161	 -0.325	 -0.170
       0:09.164	 -0.310	 -0.175
       0:09.167	 -0.290	 -0.175
       0:09.169	 -0.305	 -0.175
       0:09.172	 -0.310	 -0.195
       0:09.175	 -0.325	 -0.200
       0:09.178	 -0.330	 -0.180
       0:09.181	 -0.315	 -0.185
       0:09.183	 -0.300	 -0.185
       0:09.186	 -0.300	 -0.195
       0:09.189	 -0.315	 -0.215
       0:09.192	 -0.320	 -0.210
       0:09.194	 -0.330	 -0.190
       0:09.197	 -0.320	 -0.190
       0:09.200	 -0.305	 -0.205
       0:09.203	 -0.305	 -0.200
       0:09.206	 -0.325	 -0.220
       0:09.208	 -0.325	 -0.230
